subject,prompt
Axel Scheffler,"funny and cute bear and girl moire pattern llustration in the style of art by by Axel Scheffler and Eric Carle and Ezra Jack Keats,, beautiful colors --ar 3:4 --stylize 50 --v 5., 2"
girl standing,"a girl standing in a field with a scarf,, in the style of dark and brooding designer,, voluminous mass,, photobash,, serene faces,, jagged edges,, navy,, natural beauty --ar 69:128 --stylize 750 --v 6"
jarek kubicki,"the flying helmet is in the subway station,, in the style of futuristic cyberpunk,, tilt-shift lenses,, uhd image,, jarek kubicki,, military and naval scenes,, industrial and product design,, light black and orange"
Rough charcoal sketch,"Rough charcoal sketch on old paper,, beautiful female figure,, seductive pose,, clean line art --ar 1:1 --stylize 750 --v 5., 2"
symphony,"symphony of the universe,, visualize an epic scene depicting the harmony of the cosmos"
images,"images of human head from digital art book,, in the style of dark amber and violet,, surreal 3d landscapes,, spherical sculptures,, realistic anatomies,, uhd image,, emphasizes emotion over realism,, distinct framing --s 750 --v 5., 2 --style raw --ar 51:64"
woman,"a woman's portrait,, and some of her hair,, in the style of graphic design poster art,, close-up intensity,, light gold and teal,, bold lithographic,, shiny/glossy,, chicano-inspired,, hyper-realistic pop --ar 1:2 --stylize 750 --v 5., 2"
shilin huang,"asian woman laying on a bed in red on t shirt,, in the style of karol bak,, uniformly staged images,, shilin huang,, 32k uhd,, dark amber and gray --ar 71:93 --stylize 750 --v 6"
anatomy,"the anatomy of a woman's head made of florescent yellow domino pieces and smashed sea shells,, octopath traveler,, vanitas,, angular,, altermodern,, surreal --ar 4:5 --style raw --stylize 50 --v 6"
ricoh ff-9d,"a woman is standing next to a giant robot on a snowy mountain,, in the style of realistic and hyper-detailed renderings,, heistcore,, precisionist art,, light gray and brown,, ricoh ff-9d,, uhd image,, posuka demizu"
cyberpunk character design art,"cyberpunk character design art on wallpapers of the new century,, in the style of realistic hyper-detailed portraits,, silver and orange,, robotic expressionism,, gold and azure,, classical academic painting,, trompe-l'œil illusionistic detail,, intense gaze --ar 85:128 --stylize 750 --v 5., 2"
ayami kojima,"water dragon painting,, in the style of ayami kojima,, tumblewave,, chinapunk,, frank xavier leyendecker,, dark white and red,, tony diterlizzi,, mysterious seascapes --ar 71:128 --stylize 750 --v 5., 2"
woman,"woman's face,, pablo picasso,, cubism,, vibrant colors --ar 1:2 --stylize 750 --v 5., 2"
photography,"disposable photography of a beautiful white girl with white hair,, sitting on flower bed,, 8k,, photo realism"
blurry,"ocean,, dreamy,, invoking property,, indescribable mystery,, clear sky --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, extra fingers,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
airbrush art,"beautiful female with a futuristic looking face,, in the style of fantastical contraptions,, traditional oceanic art,, orange and beige,, algorithmic artistry,, airbrush art,, alexander fedosav,, richly colored --ar 1:2 --stylize 750 --v 5., 2"
mushroom,"large glowing mushroom forest --style raw --v 6., 0"
Picasso,"surrealist painting of water droplets on the stem of a flower,, in the style of surrealism,, Picasso,, melting,, intertwining materials,, light silver and light purple,, intricate layering --ar 1:1 --stylize 750 --v 5., 2"
chase,"chase cut short on blue,, in the style of todd schorr,, sharp focus,, whimsical cats,, album covers,, money themed,, tim etchells,, dark silver and light amber --ar 85:73"
rafael zabaleta,"an art print featuring a woman with hair on the right hand side,, in the style of retro-futuristic propaganda,, realistic hyper-detailed portraits,, light red and dark gray,, rafael zabaleta,, detail-oriented,, michael malm,, elena paraskeva --ar 31:64 --stylize 750 --v 5., 2"
george callaghan,"female face,, in the style of afrofuturism,, george callaghan,, engineering/construction and design,, poster art,, depictions of urban life,, dark cyan and orange,, 32k uhd --ar 1:2 --stylize 750 --v 6"
drawing,"a drawing of a woman with blue hair,, in the style of dark yellow and light gold,, ethereal illustrations,, graceful lines,, comic art,, i can't believe how beautiful this is,, fluid and loose,, close up --ar 74:125 --stylize 750 --v 6"
woman,"a woman with long hair in wind,, in the style of pop inspo,, hyper-realistic water,, animated gifs,, mario testino,, close up,, soft and dreamy,, sky-blue and brown --ar 71:128 --stylize 750 --v 6"
drawing,"a drawing of a knight with shield and cloak,, in the style of adventure pulp,, dark white and bronze,, mottled,, yup'ik art,, heavy use of palette knives,, light indigo and green,, 1970–present --ar 1:2 --stylize 750 --v 6"
guido van helten,"art statue in cliffs,, in the style of realistic hyper-detailed portraits,, cryengine,, detailed facial features,, ingrid baars,, multi-panel compositions,, guido van helten,, concept art --ar 31:64 --stylize 750 --v 6"
woman,"Japanese ink drawing of a stunning Japanese woman,, side view,, face only,, traditional attire --ar 68:128 --stylize 750 --v 6"
Annie Lebowitz,"stunning photograph of a beautiful Japanese woman,, in the style of Annie Lebowitz --ar 1:1 --stylize 750 --v 6"
creature,"a demonic looking creature with yellow eyes in a forest,, a character portrait by senior character artist,, zbrush central contest winner,, shock art,, unreal engine 5,, unreal engine,, rendered in unreal engine"
photo,"The photo shows a figure in dark armor and hood holding a sword and walking through an ancient stone corridor surrounded by vegetation., The photo has a misty atmosphere that adds to the mystery and mysticism of the setting,, --v 6., 0 --ar 9:16"
Time,Time traveller woman
playing plates,"A monkey playing plates as a dj,, funky psychedelic illustration,, funky hair,, colorful,, funky rays,, acid colors,, modern style,, hr"
Mikasa Ackerman,"Mikasa Ackerman in the style of Vincent Van Gogh,, extreme detail"
girl,"a girl is sitting on a stool and posing in front of a row of mannequins,, in the style of pastel gothic,, yellow and beige,, onii kei,, old memecore,, oshare kei,, slender,, gender bending --ar 93:116 --s 750 --v 5., 2 --style raw"
painting,"a painting of a girl sitting in bed,, with her legs extended,, in the style of photo-realistic landscapes,, captivating light,, i can't believe how beautiful this is,, intense gaze,, white and amber,, warmcore --ar 72:73 --stylize 750 --v 6"
japanesian geisha beautiful,"japanesian geisha beautiful image wallpaper,, in the style of joel robison,, light white and dark crimson,, samyang af 14mm f/2., 8 rf,, classical figurative realism,, 500–1000 ce,, sculpted,, anime-influenced --ar 1:2 --stylize 750 --v 6"
jarek kubicki,"the flying helmet is in the subway station,, in the style of futuristic cyberpunk,, tilt-shift lenses,, uhd image,, jarek kubicki,, military and naval scenes,, industrial and product design,, light black and orange"
kuhia kawaii,"kuhia kawaii character on ice bench,, in the style of hyper-realistic sci-fi,, vray tracing,, alan bean,, hikari shimoda,, teal and beige,, cute and dreamy --ar 3:4 --s 1000 --v 6., 0"
tim,"a woman's face made from wooden boards,, in the style of tim okamura,, abstraction-création,, 32k uhd,, andrew atroshenko,, minjae lee,, dark beige and blue,, modular --ar 25:36 --stylize 750 --v 5., 2"
can;t,"a black and white photo of a beautiful woman in a kitchen,, back angle,, lingerie,, in the style of retro photographs,, i can;t believe how beautiful this is --ar 87:128 --stylize 750 --v 5., 2"
woman,"a woman with green eyes and tattoos,, in the style of intricate black and white illustrations,, fantasy characters,, sketchfab,, thai art,, dark white and silver,, serene faces,, symmetrical balance --ar 76:77 --stylize 750 --v 6"
kathleen jones,"the model in this dress is the work of kathleen jones,, in the style of otherworldly creatures,, light white and light aquamarine,, hyper-realistic details,, figura serpentinata,, fashwave,, rococo ornateness,, neo-concrete art --ar 51:64 --s 750 --niji 5 --style cute"
fairy dragon hd wallpaper,"fairy dragon hd wallpaper,, in the style of silver and azure,, golden age aesthetics,, beautiful women,, strong facial expression,, fairycore,, azure --ar 35:59 --stylize 750 --v 6"
Rings,"A woman with raven black hair,, green eyes and covered in dirt,, wearing rags,, escaped from a dungeon and now wonders in a grey wasteland with other people also in rags., Sunken eyes,, Lord of the Rings,, Tolkien,, Hillmen,, Dunlending"
xiaofei yue,"the model has a face with a waterfall painted on it,, in the style of xiaofei yue,, grunge beauty,, dino valls,, minimalist purity,, joana vasconcelos,, wimmelbilder,, anti-gloss --ar 100:123 --s 750 --niji 5 --style scenic"
james jean,"a portrait of a metal creature with horns,, in the style of james jean,, retro-futuristic cyberpunk,, beige and aquamarine,, intricate patterns and details,, marc brunet,, dark white and orange,, symmetrical balance --ar 68:128 --stylize 750 --v 5., 2"
blurry,"Transport yourself to the rugged countryside with this realistic depiction of a chicken in its natural habitat., The dark background adds a sense of mystery and intrigue,, while the high definition rendering brings every tiny detail to life., --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers"
quadratura,"christmas card santa claus in sled,, in the style of 32k uhd,, quadratura,, lively and energetic --ar 7:9 --stylize 750 --v 5., 2"
woman,"Japanese ink drawing of a stunning Japanese woman,, side view,, face only,, traditional attire --ar 68:128 --stylize 750 --v 6"
Meta Human,"Meta Human with bio-illuminated cracks like veins,, all over body,, standing on an open desert evening"
macro shot,"macro shot,, cinematic photo of parrot,, colorful,, dark shot,, film grain,, (((facing viewer))),, 64 bits Pixel Art"
mike deodato,"an oil painting of a woman with long black hair,, in the style of mike deodato,, contemporary middle eastern and north african art,, charming character illustrations,, gray and amber,, dmitri danish,, digitally enhanced,, alice pasquini --ar 29:31 --stylize 750 --v 6"
Annie Lebowitz,"stunning photograph of a beautiful Japanese woman,, in the style of Annie Lebowitz --ar 1:1 --stylize 750 --v 6"
woman,"a woman in a silver suit posing on white tiles,, in the style of gelatinous forms,, cybergoth,, bronze casts,, high gloss,, smooth and shiny,, theatrical installations,, strong sense of light --ar 155:233 --q 2 --v 5"
woman,"woman's face,, pable picasso,, cubism,, vibrant colors --ar 1:1 --stylize 750 --v 6"
Helmut Newton,"artistic photo of an old man drinking beer in the sleazy bar,, black and white photo,, monochromatic photography,, in the style of Helmut Newton,, sadness in the eyes,, desperate mood,, hard light on skin,, bad skin,, rule of thirds,, shot on 35mm lens,, shot on old film camera,, little bit out of focus,, old photo --ar 6:4 --style raw --stylize 240 --v 6., 0"
blue,"beautiful red,, blue and gold makeup on a woman,, in the style of venetian scenes,, hyperrealistic sculptures,, dark teal and white,, aurorapunk --ar 1:2 --stylize 750 --v 6"
HDR,"Create a conceptual Christmas poster,, HDR,, hyper realistic,, photorealistic,, 32k UHD resolution,, white balance,, light volume., ,, ultra hd,, realistic,, vivid colors,, highly detailed,, UHD drawing,, pen and ink,, perfect composition,, beautiful detailed intricate insanely detailed octane render trending on artstation,, 8k artistic photography,, photorealistic concept art,, soft natural volumetric cinematic perfect light --no ugly,, deformed,, noisy,, blurry,, distorted,, out of focus,, bad anatomy,, extra limbs,, poorly drawn face,, poorly drawn hands,, missing fingers,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy,, ugly,, deformed,, noisy,, blurry,, distorted,, grainy"
girl,"girl with horse,, blue background,, Hajime Sorayama style --v 5., 2"
moosa al halyan,"a pencil drawing of a girl wearing a shawl,, in the style of dmitry spiros,, 8k resolution,, intricately textured,, moosa al halyan,, charming characters,, silver,, serene faces --stylize 750 --v 6"
closeup shot,"An extreme closeup shot of an old coal miner,, with his eyes unfocused,, and face illuminated in the golden hour --v 6., 0"
Mattel,"a barbie doll Mattel by Azzedine Alaia:: holding diamonds,, in the style of 32k uhd,, hyper-detailed illustrations,, iconic --no text,, extra fingers,, mutated hands,, poorly drawn hands,, missing arms,, missing legs,, extra arms,, extra legs,, fused fingers,, too many fingers --s 50 --style raw"
robot,ultrarealistic robot holding flowers --style raw
daniel sullivan's,"daniel sullivan's fall 2014 muse fall,, in the style of light red,, pinturicchio,, giovanni boldini,, high gloss,, imitated material,, poolcore,, made of flowers --ar 103:154 --s 750 --style raw"
person,"a close up of a person with a weird face,, a detailed matte painting by senior character artist,, featured on cgsociety,, fantasy art,, #vfxfriday,, reimagined by industrial light and magic,, behance hd"
Tennis Court Blue,"a serious woman with a look of malice,, tendrils,, dark atmosphere,, greyscale,, cinematic,, psychedelic,, vibrant Tennis Court Blue,, ornate,, symmetrical --ar 4:5 --s 50 --v 6., 0 --style raw"
Carn Dum,"a young female hobbit,, ultra realism,, lord of the rings,, snowy forest,, pale hues,, hobbit from lord of the rings who escaped Carn Dum,, grimy,, dirty,, black hair,, homely,, ugly"
Personification,Personification of anathema
minimalist,A minimalist abstract sketch of a woman --ar 1:2 --stylize 750 --v 6
raphael lacoste,"a woman with red eyes in a hood,, in the style of detailed penciling,, raphael lacoste,, dark silver and orange,, marc silvestri,, ingrid baars,, sketches,, emotionally charged portraits --ar 1:2 --stylize 750 --v 6"
fairy dragon hd wallpaper,"fairy dragon hd wallpaper,, in the style of silver and azure,, golden age aesthetics,, beautiful women,, strong facial expression,, fairycore,, azure --ar 35:59 --stylize 750 --v 6"
portrait,"portrait of an asian woman highly detailed marble and jade sculpture of a female,, volumetric fog,, breathtaking,, cyber background,, cinematic lighting,, breathtaking ,, photography,, stunning environment,, wide-angle --ar 4:5 --s 1000 --c 100 --w 1000 --v 5., 2 --style raw"
katana,"humanoid,, robot,, cyborg,, warrior,, alien,, full body,, weapon,, warrior,, stealth,, sword,, katana,, laser,, deserted planet vegetation,, walking,, cyberpunk,, 8k,, octane render,, cinematic,, dramatic light,, beautiful lit,, detailed,, photorealist,, unreal engine rendering,, 8k post-production,, photo-bash,, fantasy,, unreal beauty --ar 4:6 --s 6000"
anita malfatti,"the pictures are taken from omi's new campaign for the label,, in the style of short yellow and blue,, kurt schwitters,, anita malfatti,, mechanized precision,, photo taken with ektachrome,, dusty piles,, brian bolland --s 750 --v 5., 2 --style raw"
Kodak,"temptress,, Award - winning,, photograph shot with Kodak Portra 800,, a Hasselblad 500C,, 55mm f/ 1., 8 lens,, extreme depth of field,, available light,, high contrast,, Ultra HD,, HDR,, DTM,, 8K::1 --iw 2 --c 25"
Rough charcoal sketch,"Rough charcoal sketch on old paper,, beautiful female figure,, seductive pose,, clean line art --ar 1:1 --stylize 750 --v 6"
spacecraft,"spacecraft in action,, star wars,, in the style of olympus af-1 (aka olympus infinity),, cinematic stills,, light gray and blue,, i can't believe how beautiful this is,, fragmented planes,, light gray and dark emerald,, frostpunk::,, a spaceship riding into view at a distance,, in the style of #vfxfriday,, changelingcore,, imax,, close up,, i can't believe how beautiful this is,, light indigo and white,, 32k uhd:: --v 5., 2"
Eva Green,"Actress Eva Green in blue attire with hair,, in the style of light turquoise and green,, transparent/translucent medium,, intricate floral prints,, layered mesh,, precise and lifelike,, cross processing,, bombacore --ar 51:64 --s 50 --v 6., 0 --style raw"
Black,"A studio-lit chemistry lab with three students,, each from different descents: Caucasian,, Asian,, and Black., They are interacting with vivid,, colorful holograms depicting various chemical structures and molecules., The scene is evenly lit with no harsh shadows or contrast,, giving a clear and detailed view of the environment., The image has the crisp,, clean quality characteristic of a photo taken with a Canon EOS R3 using a 50mm lens,, showcasing the advanced technology and educational setting."
c.,"christmas pattern,, in the style of charley harper,, color-blocked shapes,, dark green and pink,, christian wilhelm allers,, m., c., escher,, digitally enhanced --tile --ar 6:4 --style raw --s 50"
digital,"digital painting of girl in body with jewels,, in the style of elaborate spacecrafts,, poured resin,, realistic depictions,, radiant clusters,, mosaic-inspired realism,, fluid figures,, realistic forms --ar 87:128 --s 50 --v 6., 0 --style raw"
No Subject,1984
Vray Tracing,"Late nights in soho in the 80's woman walking down the street,, In the style of film noir,, Vray Tracing,, Realistic marine paintings,, Animated gifs,, classic glamour,, smooth and polished,, light-filled scenes,, In the style of Sin city,, NEo noir,, In the style of jessica rossier,, Highly detailed facial structure."
Ross Tran,"a woman with blonde hair wearing a black outfit,, cyberpunk art by Ross Tran,, featured on cgsociety,, fantasy art,, ilya kuvshinov,, artstation hd,, anime aesthetic"
No Subject,1984
spacecraft,"spacecraft in action,, star wars,, in the style of olympus af-1 (aka olympus infinity),, cinematic stills,, light gray and blue,, i can't believe how beautiful this is,, fragmented planes,, light gray and dark emerald,, frostpunk,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, a spaceship riding into view at a distance,, in the style of #vfxfriday,, changelingcore,, imax,, close up,, i can't believe how beautiful this is,, light indigo and white,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, photo,, digital art,, science fiction:: --v 5., 2"
spaceship::use,"illustrate a technological scene,, such as a futuristic city or a spaceship::use clean lines,, simple shapes,, and a limited color palette to create a sleek and modern feel,, SAI 16 bit pixel art"
World War II,"Craft a detailed,, photorealistic close-up of a World War II soldier amidst a fierce battle., The image should mirror the artistic nuances of Luis Royo,, Boris Vallejo,, and Frank Frazetta,, focusing on the soldier's rugged appearance and combat-ready stance., The background should feature the chaotic battlefield and a dramatic,, sunlit sky,, emphasizing the soldier's determination and the gravity of the moment., --s 200 --ar 16:9"
merry christmas,merry christmas from mars
sci,"futuristic sci fi landscape,, rural area of ​​the future,, a beautiful scenery,, acrylic painting,, trending on pixiv fanbox,, palette knife and brush strokes,, style of makoto shinkai jamie wyeth james gilleard edward hopper greg rutkowski studio ghibli genshin impact"
receptionist airport carpark,welcoming female receptionist airport carpark uk high viz yellow waistcoat very friendly
Max Woman,"Mad Max Woman film series,, Art Station - post-apocalyptic concept art 
Camera: Medium shot ––v 6., 0"
darth maul,"darth maul eating a sandwich --v 6., 0"
Eszter Mattioni,"a close up of a woman with red hair,, a portrait by Eszter Mattioni,, featured on cg society,, neo-romanticism,, ilya kuvshinov,, 8k,, enchanting"
spacecraft,"spacecraft in action,, star wars,, in the style of olympus af-1 (aka olympus infinity),, cinematic stills,, light gray and blue,, i can't believe how beautiful this is,, fragmented planes,, light gray and dark emerald,, frostpunk,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, a spaceship riding into view at a distance,, in the style of #vfxfriday,, changelingcore,, imax,, close up,, i can't believe how beautiful this is,, light indigo and white,, realistic hyper-detailed rendering,, hyper-realistic details,, 32k uhd,, masterpiece::,, photo,, digital art,, science fiction:: --v 5., 2"
woman,"an asian woman stands on a mountain with a bow,, in the style of action-packed scenes,, war scenes,, historical significance,, historical genre scenes --ar 1:2 --stylize 750 --v 6"
No Subject,1984
alien ruins,"alien ruins,, scifi,, blurred,, soft light,, golden ration,, future"
Marvel Comics',"Marvel Comics' Venom,, a 4K,, 3D revelation,, standing character basking in soft smooth lighting,, a celestial embrace for its Hyper-detailed form., Soft pastel colors,, like whispered secrets,, paint a tableau of Venom's storytelling photo., In the whimsical essence of Skottie Young,, this 3D Blender render unravels Venom's epic narrative,, each detail an eloquent stroke in the cinematic tapestry., The polycount orchestrates a symphony of modular constructivism,, a ballet of Pop Surrealism in a physically based rendering showcase., The result,, a square image,, a vibrant level,, an epic and cinematic journey captured in Venom's lifelike form."
Fred A.,"a blue and yellow frog sitting on top of a tree branch,, a photorealistic painting by Fred A., Precht,, behance,, naturalism,, behance hd,, vibrant colors,, vivid colors"
Ross Tran,"a woman with a bird on her head,, a photorealistic painting by Ross Tran,, featured on cgsociety,, fantasy art,, detailed painting,, artstation hd,, digital painting"
Strong,"A woman who has just escape a life as a slave., She has raven black hair,, green eyes and wears rags., She is covered in dirt and grim,, she is tall,, strong and brawny and has a look of rejection on her face., Strong,, muscle,, starving,, dirty,, sword and shield., She is mysterious and plain,, ultra realism., Style of Lord of the Rings,, Tolkien"
picture,"a picture of a beautiful girl in a portrait,, in the style of mote kei,, light orange and light beige,, zeiss batis 18mm f/2., 8 --ar 1:2 --stylize 750 --v 6"
raymond leech,"the face of a woman in a t shirt,, in the style of bold,, manga-inspired characters,, poster art,, raymond leech,, light bronze and blue,, berrypunk,, tattoo,, russell dongjun lu --ar 24:37 --stylize 750 --v 6"
tattoo design,"surrealistic tattoo design,, super simple,, abstract,, smooth flowing water,, --ar 1:2 --stylize 750 --v 6"
photograph,"black and white photograph of women running,, in the style of intense gaze,, hauntingly beautiful,, richly layered,, expressive eyes,, jagged edges,, western-style portraits,, loose and fluid style --ar 73:111 --stylize 750 --v 6"
Hollywood,"1950's Hollywood glamour photo,, medium shot,, 35mm --ar 1:2 --stylize 750 --v 6"
